season[]	day[]	temp[]	treat[]	MBC.1[]	MBN.1[]	TOC.1[]	TN.1[]					
1	1	1	1	0.075170556	0.057444463	0.1583	0.089887963					
1	1	1	1	0.139789803	0.042333673	0.2177	0.128447926					
1	1	1	1	0.301066047	0.057929581	0.2298	0.149927163					
1	1	1	1	0.210754717	0.050471698	0.2215	0.144009434					
1	1	1	1	0.368548395	0.070630202	0.2182	0.164003329					
1	1	1	1	0.190988066	0.038876179	0.2126	0.13396967					
2	1	3	1	0.288534381	0.038784189	0.2106	0.072650373					
2	1	3	1	0.302535193	0.037916884	0.1477	0.075042489					
2	1	3	1	0.318861097	0.044348186	0.1510	0.069190886					
2	1	3	1	0.344161943	0.068537393	0.1317	0.092731336					
2	1	3	1	0.361458337	0.048420917	0.1761	0.070312698					
2	1	3	1	0.296639165	0.041708042	0.1313	0.066229812					
END
