seaso[]	da[]	tp[]	Temp[]	trea[]	MBC.2[]	MBN.2[]	TOC.2[]	TN.2[]
1	2	1	1	1	0.350699241	0.130754532	0.252900759	0.196310076
1	2	1	1	1	0.276465528	0.154188543	0.28224	0.21664402
1	2	1	1	2	1.858711675	0.138722	1.66164467	0.176347107
1	2	1	1	2	3.620958794	0.126519136	1.449493467	0.157360603
1	2	10	2	1	0.218350636	0.087135471	0.205398066	0.147700254
1	2	10	2	2	0.999503722	0.136456576	2.124565757	0.169181141
1	2	10	2	2	2.69689291	0.113280411	1.566369682	0.154802347
1	2	20	3	1	0.164879227	0.090917874	0.219806763	0.151352657
1	2	20	3	1	0.306533806	0.091019385	0.220671868	0.156490307
1	2	20	3	2	2.608035849	0.175435075	0.808216981	0.211034434
1	2	20	3	2	0.953446429	0.127917759	0.834488393	0.154734554
2	2	1	1	1	0.688520276	0.073139669	0.136630989	0.103005149
2	2	1	1	1	0.66727659	0.080764894	0.187424793	0.11012765
2	2	1	1	1	0.670544522	0.069950723	0.202043823	0.101763357
2	2	1	1	2	3.409862385	0.069555046	1.411238532	0.102247706
2	2	1	1	2	3.150680365	0.0685379	1.410413699	0.102875616
2	2	1	1	2	3.196730926	0.064894962	1.380605418	0.093072506
2	2	10	2	1	0.67940367	0.068302752	0.186651376	0.097706422
2	2	10	2	1	0.76933235	0.079538083	0.161102673	0.109838525
2	2	10	2	1	0.74977448	0.07709448	0.170180271	0.105079276
2	2	10	2	2	2.676353258	0.067609106	1.675253933	0.088986607
2	2	10	2	2	1.416227002	0.073757986	1.712732265	0.095075057
2	2	10	2	2	2.589311416	0.058612511	1.705424658	0.090680913
2	2	20	3	1	0.659209932	0.072152173	0.146405558	0.107505968
2	2	20	3	1	0.619425846	0.060387138	0.161355692	0.102283692
2	2	20	3	1	0.703626667	0.064905061	0.207943401	0.104653333
2	2	20	3	2	2.504155963	0.075014807	0.819458716	0.097556789
2	2	20	3	2	2.252721429	0.051696723	0.803901786	0.073967946
2	2	20	3	2	2.081251701	0.05172683	0.813414966	0.073116463
END								
