seas[]	dy[]	tmp[]	tret[]	MBC.29[]	MBN.29[]	TOC.29[]	TN.29[]					
1	3	1	1	0.255478484	0.05561516	0.2548	0.15086344					
1	3	1	1	0.446027491	0.106484674	0.2535	0.214093196					
1	3	1	2	0.960677437	0.068856156	1.0748	0.143873426					
1	3	1	2	0.735731092	0.086390924	0.9254	0.148525714					
1	3	2	1	0.302311405	0.088937851	0.2452	0.17368					
1	3	2	1	0.350623573	0.048727467	0.1907	0.137079467					
1	3	2	2	0.518863568	0.079429189	0.3264	0.141754811					
1	3	2	2	0.34612	0.06044375	0.3946	0.125447292					
1	3	3	1	0.212705051	0.046220505	0.2584	0.171877778					
1	3	3	2	0.143680177	0.019964169	0.2812	0.094741463					
1	3	3	2	0.292024531	0.088689611	0.3427	0.149451625					
2	3	1	1	0.808722322	0.068564443	0.2641	0.110069657					
2	3	1	1	0.900417923	0.076150383	0.1881	0.111921311					
2	3	1	2	1.069333333	0.045786667	2.1813	0.077066667					
2	3	1	2	1.333149171	0.039055249	2.0061	0.077569061					
2	3	1	2	1.273	0.048165	2.4100	0.07325					
2	3	2	1	0.877502841	0.075507773	0.1999	0.110970795					
2	3	2	1	0.878797814	0.054098361	0.2507	0.12010929					
2	3	2	1	0.943075455	0.06482075	0.2104	0.115631136					
2	3	2	2	1.067633182	0.056647841	0.3488	0.086134205					
2	3	2	2	0.90974809	0.045123596	0.4936	0.105758427					
2	3	2	2	1.154281032	0.095198613	0.3789	0.122823954					
2	3	3	1	0.669185263	0.036243158	0.2873	0.127796526					
2	3	3	1	0.777797855	0.068120858	0.2058	0.139238391					
2	3	3	1	0.537653832	0.067997944	0.1744	0.121242056					
2	3	3	2	0.633109353	0.060277214	0.2850	0.112361891					
2	3	3	2	0.505848578	0.059997147	0.4002	0.098943928					
2	3	3	2	0.886548852	0.08156859	0.2771	0.118866885					
END
