Jar,Exp,plot,Ring,CO2,N,NoSp,NoGrp,MonoSp,MonoGrp,Time,DRR,CR
1,e141,35,1,Cenrich,Namb,1,1,LespedezaCapitata,Legume,1,0.002929496,0.0029295
2,e141,109,2,Camb,Namb,1,1,BromusInermis,C-3,1,0.00368339,0.0036834
3,e141,8,1,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,1,0.004961445,0.0049614
4,e141,30,1,Cenrich,Nenrich,16,4,,,1,0.013094634,0.0130946
5,e141,42,1,Cenrich,Namb,1,1,SolidagoRigida,Forb,1,0.006983131,0.0069831
6,e141,184,4,Camb,Namb,16,4,,,1,0.006938899,0.0069389
7,e141,209,4,Camb,Namb,1,1,AmorphaCanescens,Legume,1,0.0018191,0.0018191
8,e141,358,6,Camb,Namb,16,4,,,1,0.005826763,0.0058268
9,e141,18,1,Cenrich,Nenrich,1,1,AmorphaCanescens,Legume,1,0.00407945,0.0040794
10,e141,43,1,Cenrich,Nenrich,16,4,,,1,0.007170035,0.00717
11,e141,163,3,Cenrich,Namb,16,4,,,1,0.004742574,0.0047426
12,e141,130,3,Cenrich,Nenrich,16,4,,,1,0.008936002,0.008936
13,e141,52,1,Cenrich,Nenrich,16,4,,,1,0.005955281,0.0059553
14,e141,71,2,Camb,Nenrich,1,1,SorghastrumNutans,C-4,1,0.005512777,0.0055128
15,e141,231,4,Camb,Namb,1,1,SchizachyriumScoparium,C-4,1,0.00546824,0.0054682
16,e141,254,5,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,1,0.003662596,0.0036626
17,e141,112,2,Camb,Nenrich,1,1,AgropyronRepens,C-3,1,0.005126479,0.0051265
18,e141,306,6,Camb,Namb,16,4,,,1,0.003491396,0.0034914
19,e141,5,1,Cenrich,Namb,1,1,AsclepiasTuberosa,Forb,1,0.003148727,0.0031487
20,e141,24,1,Cenrich,Namb,1,1,AgropyronRepens,C-3,1,0.004291979,0.004292
21,e141,266,5,Cenrich,Namb,1,1,BromusInermis,C-3,1,0.005348776,0.0053488
22,e141,222,4,Camb,Namb,16,4,,,1,0.003638391,0.0036384
23,e141,270,5,Cenrich,Namb,16,4,,,1,0.005575544,0.0055755
24,e141,352,6,Camb,Nenrich,1,1,BromusInermis,C-3,1,0.007663342,0.0076633
25,e141,33,1,Cenrich,Namb,16,4,,,1,0.00782328,0.0078233
26,e141,104,2,Camb,Namb,16,4,,,1,0.005662674,0.0056627
27,e141,213,4,Camb,Nenrich,16,4,,,1,0.007151363,0.0071514
28,e141,31,1,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,1,0.003393857,0.0033939
29,e141,137,3,Cenrich,Nenrich,1,1,LespedezaCapitata,Legume,1,0.003123383,0.0031234
30,e141,67,2,Camb,Namb,16,4,,,1,0.003655851,0.0036559
31,e141,57,1,Cenrich,Namb,1,1,SchizachyriumScoparium,C-4,1,0.002782932,0.0027829
32,e141,118,2,Camb,Nenrich,16,4,,,1,0.005535713,0.0055357
33,e141,279,5,Cenrich,Namb,1,1,AmorphaCanescens,Legume,1,0.004506223,0.0045062
34,e141,250,5,Cenrich,Namb,16,4,,,1,0.006166603,0.0061666
35,e141,13,1,Cenrich,Nenrich,16,4,,,1,0.00627558,0.0062756
36,e141,69,2,Camb,Namb,16,4,,,1,0.005957463,0.0059575
37,e141,241,4,Camb,Nenrich,1,1,LespedezaCapitata,Legume,1,0.003647334,0.0036473
38,e141,64,2,Camb,Nenrich,16,4,,,1,0.003323511,0.0033235
39,e141,196,4,Camb,Nenrich,1,1,AmorphaCanescens,Legume,1,0.001336735,0.0013367
40,e141,169,3,Cenrich,Namb,1,1,AmorphaCanescens,Legume,1,0.002681071,0.0026811
41,e141,143,3,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,1,0.006251169,0.0062512
42,e141,39,1,Cenrich,Namb,1,1,BromusInermis,C-3,1,0.004942777,0.0049428
43,e141,108,2,Camb,Nenrich,16,4,,,1,0.006354776,0.0063548
44,e141,53,1,Cenrich,Nenrich,1,1,SolidagoRigida,Forb,1,0.005127999,0.005128
45,e141,132,3,Cenrich,Nenrich,1,1,SchizachyriumScoparium,C-4,1,0.004801587,0.0048016
46,e141,103,2,Camb,Nenrich,1,1,BromusInermis,C-3,1,0.006575846,0.0065758
47,e141,36,1,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,1,0.006394325,0.0063943
48,e141,90,2,Camb,Namb,1,1,SorghastrumNutans,C-4,1,0.004351844,0.0043518
49,e141,144,3,Cenrich,Nenrich,1,1,AgropyronRepens,C-3,1,0.003824585,0.0038246
50,e141,68,2,Camb,Nenrich,1,1,SchizachyriumScoparium,C-4,1,0.003537886,0.0035379
51,e141,123,3,Cenrich,Nenrich,1,1,SorghastrumNutans,C-4,1,0.005947581,0.0059476
52,e141,192,4,Camb,Namb,1,1,AsclepiasTuberosa,Forb,1,0.00145172,0.0014517
53,e141,23,1,Cenrich,Namb,16,4,,,1,0.004646651,0.0046467
54,e141,160,3,Cenrich,Nenrich,1,1,AsclepiasTuberosa,Forb,1,0.001770681,0.0017707
55,e141,45,1,Cenrich,Namb,16,4,,,1,0.005499013,0.005499
56,e141,174,3,Cenrich,Nenrich,1,1,BromusInermis,C-3,1,0.00752284,0.0075228
