Season[]	Day[]	temp.I[]	treat.I[]	temp.F[]	treat.F[]	Resp.1[]
1	1	1	1	1	1	0.000936998
1	1	1	1	1	1	0.001077055
1	1	1	1	1	1	0.00119411
1	1	1	2	1	2	0.001472911
1	1	1	2	1	2	0.001500766
1	1	1	2	1	2	0.00159103
1	1	1	2	1	2	0.001671496
1	1	2	1	2	1	0.001065744
1	1	2	1	2	1	0.001106943
1	1	2	1	2	1	0.00126227
1	1	2	1	2	1	0.0015147
1	1	2	2	2	2	0.001611629
1	1	2	2	2	2	0.00192384
1	1	2	2	2	2	0.002046874
1	1	2	2	2	2	0.002553427
1	1	3	1	3	1	0.001623437
1	1	3	1	3	1	0.001919908
1	1	3	1	3	1	0.002057736
1	1	3	1	3	1	0.00217232
1	1	3	2	3	2	0.003496506
1	1	3	2	3	2	0.004553487
1	1	3	2	3	2	0.004693482
1	1	3	2	3	2	0.004961845
2	1	1	1	1	1	0.000856181
2	1	1	1	1	1	0.000931345
2	1	1	1	1	1	0.000970139
2	1	1	1	1	1	0.001061466
2	1	1	1	1	1	0.001065507
2	1	1	1	1	1	0.001074273
2	1	1	1	1	1	0.001142287
2	1	1	1	1	1	0.001148999
2	1	1	2	1	2	0.001336256
2	1	1	2	1	2	0.00143809
2	1	1	2	1	2	0.001633676
2	1	1	2	1	2	0.002040204
2	1	1	2	1	2	0.002136381
2	1	1	2	1	2	0.002155778
2	1	1	2	1	2	0.00269566
2	1	2	1	2	1	0.00119482
2	1	2	1	2	1	0.001200478
2	1	2	1	2	1	0.001215025
2	1	2	1	2	1	0.001259477
2	1	2	1	2	1	0.001299079
2	1	2	1	2	1	0.001327366
2	1	2	1	2	1	0.001367776
2	1	2	1	2	1	0.001259477
2	1	2	2	2	2	0.002909835
2	1	2	2	2	2	0.002626963
2	1	2	2	2	2	0.002710208
2	1	2	2	2	2	0.002808809
2	1	2	2	2	2	0.002959944
2	1	2	2	2	2	0.002969642
2	1	2	2	2	2	0.003002779
2	1	2	2	2	2	0.003176543
2	1	3	1	3	1	0.001703182
2	1	3	1	3	1	0.001712072
2	1	3	1	3	1	0.001715305
2	1	3	1	3	1	0.00174925
2	1	3	1	3	1	0.001750866
2	1	3	1	3	1	0.001784003
2	1	3	1	3	1	0.001807441
2	1	3	1	3	1	0.001838153
2	1	3	2	3	2	0.004643439
2	1	3	2	3	2	0.00470567
2	1	3	2	3	2	0.004730725
2	1	3	2	3	2	0.00494692
2	1	3	2	3	2	0.005098459
2	1	3	2	3	2	0.005177663
END						
