Sea[]	dai[]	tp.I[]	tr.I[]	tp.F[]	tr.F[]	Resp.2[]
1	2	1	1	1	1	0.000886837
1	2	1	1	1	1	0.000891849
1	2	1	1	1	1	0.000931895
1	2	1	1	1	1	0.000958985
1	2	1	1	1	1	0.001055596
1	2	1	1	1	1	0.00124426
1	2	1	1	1	1	0.001296206
1	2	1	1	1	1	0.002142065
1	2	1	2	1	2	0.00135961
1	2	1	2	1	2	0.00136903
1	2	1	2	1	2	0.001383748
1	2	1	2	1	2	0.001433313
1	2	1	2	1	2	0.001549483
1	2	1	2	1	2	0.001567376
1	2	1	2	1	2	0.001600981
1	2	1	2	1	2	0.001908782
1	2	2	1	2	1	0.001086124
1	2	2	1	2	1	0.001095941
1	2	2	1	2	1	0.001167454
1	2	2	1	2	1	0.001182985
1	2	2	1	2	1	0.001198037
1	2	2	1	2	1	0.001238908
1	2	2	1	2	1	0.00167214
1	2	2	1	2	1	0.001820199
1	2	2	2	2	2	0.003675436
1	2	2	2	2	2	0.003766144
1	2	2	2	2	2	0.003825045
1	2	2	2	2	2	0.003874993
1	2	2	2	2	2	0.00399586
1	2	2	2	2	2	0.004005677
1	2	2	2	2	2	0.004015798
1	2	2	2	2	2	0.004602545
1	2	3	1	3	1	0.001599222
1	2	3	1	3	1	0.001660741
1	2	3	1	3	1	0.001766125
1	2	3	1	3	1	0.001833717
1	2	3	1	3	1	0.001847235
1	2	3	1	3	1	0.001877368
1	2	3	1	3	1	0.001968901
1	2	3	1	3	1	0.00214308
1	2	3	2	3	2	0.006300873
1	2	3	2	3	2	0.006951391
1	2	3	2	3	2	0.00808428
1	2	3	2	3	2	0.008137291
1	2	3	2	3	2	0.008410732
1	2	3	2	3	2	0.008574472
1	2	3	2	3	2	0.008967148
1	2	3	2	3	2	0.008996529
2	2	1	1	1	1	0.000894995
2	2	1	1	1	1	0.000951952
2	2	1	1	1	1	0.000985837
2	2	1	1	1	1	0.000992326
2	2	1	1	1	1	0.000998094
2	2	1	1	1	1	0.001037027
2	2	1	1	1	1	0.00103919
2	2	1	1	1	1	0.001070913
2	2	1	2	1	2	0.00133479
2	2	1	2	1	2	0.001383816
2	2	1	2	1	2	0.001388142
2	2	1	2	1	2	0.001458797
2	2	1	2	1	2	0.00149773
2	2	1	2	1	2	0.001553966
2	2	1	2	1	2	0.0015792
2	2	1	2	1	2	0.001752955
2	2	2	1	2	1	0.000932485
2	2	2	1	2	1	0.001013956
2	2	2	1	2	1	0.001033422
2	2	2	1	2	1	0.001062261
2	2	2	1	2	1	0.001062982
2	2	2	1	2	1	0.001122102
2	2	2	1	2	1	0.001132195
2	2	2	1	2	1	0.000960603
2	2	2	2	2	2	0.00252512
2	2	2	2	2	2	0.002423462
2	2	2	2	2	2	0.00268806
2	2	2	2	2	2	0.002708969
2	2	2	2	2	2	0.002803416
2	2	2	2	2	2	0.002875153
2	2	2	2	2	2	0.00298366
2	2	2	2	2	2	0.003066572
2	2	3	1	3	1	0.001136521
2	2	3	1	3	1	0.001151662
2	2	3	1	3	1	0.001158151
2	2	3	1	3	1	0.001173291
2	2	3	1	3	1	0.001211503
2	2	3	1	3	1	0.001230969
2	2	3	1	3	1	0.001245389
2	2	3	1	3	1	0.001271344
2	2	3	2	3	2	0.004238157
2	2	3	2	3	2	0.004238157
2	2	3	2	3	2	0.004295835
2	2	3	2	3	2	0.004329721
2	2	3	2	3	2	0.004640462
2	2	3	2	3	2	0.004665696
2	2	3	2	3	2	0.004821426
2	2	3	2	3	2	0.005136493
END						
