Seas[]	Dy[]	tmp.I[]	tret.I[]	tmp.F[]	tret.F[]	Resp.29[]
1	3	1	1	1	1	0.001164606
1	3	1	1	1	1	0.00119295
1	3	1	1	1	2	0.001650001
1	3	1	1	1	2	0.001694289
1	3	1	2	1	1	0.001894469
1	3	1	2	1	1	0.001990131
1	3	1	2	1	2	0.001936986
1	3	1	2	1	2	0.002089336
1	3	1	1	2	1	0.001295698
1	3	1	1	2	1	0.001329357
1	3	1	1	2	2	0.002875887
1	3	1	1	2	2	0.002975092
1	3	1	2	2	1	0.003697869
1	3	1	2	2	1	0.003894507
1	3	1	2	2	2	0.00388565
1	3	1	2	2	2	0.004027371
1	3	1	1	3	1	0.001818294
1	3	1	1	3	1	0.001963558
1	3	1	1	3	2	0.005173539
1	3	1	1	3	2	0.005269201
1	3	1	2	3	1	0.006564177
1	3	1	2	3	1	0.007520794
1	3	1	2	3	2	0.007697945
1	3	1	2	3	2	0.007852066
1	3	2	1	1	1	0.0010282
1	3	2	1	1	1	0.001161063
1	3	2	1	1	2	0.001859039
1	3	2	1	1	2	0.002128309
1	3	2	2	1	1	0.001293927
1	3	2	2	1	1	0.001318728
1	3	2	2	1	2	0.001750977
1	3	2	2	1	2	0.001894469
1	3	2	1	2	1	0.001146891
1	3	2	1	2	1	0.00121598
1	3	2	1	2	2	0.002326719
1	3	2	1	2	2	0.002448953
1	3	2	2	2	1	0.001993674
1	3	2	2	2	1	0.002167282
1	3	2	2	2	2	0.003279792
1	3	2	2	2	2	0.003402027
1	3	2	1	3	1	0.001676573
1	3	2	1	3	1	0.001981274
1	3	2	1	3	2	0.00610004
1	3	2	1	3	2	0.006573034
1	3	2	2	3	1	0.003045953
1	3	2	2	3	1	0.003738614
1	3	2	2	3	2	0.006140785
1	3	2	2	3	2	0.00681396
1	3	3	1	1	1	0.001033514
1	3	3	1	1	1	0.001288612
1	3	3	1	1	2	0.001497651
1	3	3	1	1	2	0.001554339
1	3	3	2	1	1	0.001177007
1	3	3	2	1	1	0.00140376
1	3	3	2	1	2	0.001538395
1	3	3	2	1	2	0.00160217
1	3	3	1	2	1	0.001109689
1	3	3	1	2	1	0.001129176
1	3	3	1	2	2	0.002323176
1	3	3	1	2	2	0.002367463
1	3	3	2	2	1	0.001350615
1	3	3	2	2	1	0.001453363
1	3	3	2	2	2	0.002537529
1	3	3	2	2	2	0.002796169
1	3	3	1	3	1	0.001295698
1	3	3	1	3	1	0.001400217
1	3	3	1	3	2	0.004098231
1	3	3	1	3	2	0.004234638
1	3	3	2	3	1	0.001765149
1	3	3	2	3	1	0.001908642
1	3	3	2	3	2	0.005497726
1	3	3	2	3	2	0.006748414
2	3	1	1	1	1	0.000832893
2	3	1	1	1	1	0.00094985
2	3	1	1	1	2	0.001282563
2	3	1	1	1	2	0.001361745
2	3	1	2	1	1	0.001313698
2	3	1	2	1	1	0.001400157
2	3	1	2	1	2	0.001432211
2	3	1	2	1	2	0.001529554
2	3	1	1	2	1	0.000967285
2	3	1	1	2	1	0.000971644
2	3	1	1	2	2	0.001993754
2	3	1	1	2	2	0.002684604
2	3	1	2	2	1	0.00230322
2	3	1	2	2	1	0.002553843
2	3	1	2	2	2	0.002276341
2	3	1	2	2	2	0.002394025
2	3	1	1	3	1	0.001276025
2	3	1	1	3	1	0.001320338
2	3	1	1	3	2	0.002948304
2	3	1	1	3	2	0.003728507
2	3	1	2	3	1	0.004106259
2	3	1	2	3	1	0.004418631
2	3	1	2	3	2	0.004485827
2	3	1	2	3	2	0.008650906
2	3	2	1	1	1	0.000814005
2	3	2	1	1	1	0.001427126
2	3	2	1	1	2	0.000989079
2	3	2	1	1	2	0.001521629
2	3	2	2	1	1	0.001047194
2	3	2	2	1	1	0.001153255
2	3	2	2	1	2	0.001370463
2	3	2	2	1	2	0.001546263
2	3	2	1	2	1	0.000856402
2	3	2	1	2	1	0.000905635
2	3	2	1	2	2	0.002124447
2	3	2	1	2	2	0.002328715
2	3	2	2	2	1	0.001371916
2	3	2	2	2	1	0.001501223
2	3	2	2	2	2	0.002226216
2	3	2	2	2	2	0.002259633
2	3	2	1	3	1	0.001079043
2	3	2	1	3	1	0.002149213
2	3	2	1	3	2	0.003809512
2	3	2	1	3	2	0.003923915
2	3	2	2	3	1	0.001136895
2	3	2	2	3	1	0.002155751
2	3	2	2	3	2	0.00413459
2	3	3	1	1	1	0.000775796
2	3	3	1	1	1	0.000794777
2	3	3	1	1	2	0.001365378
2	3	3	1	1	2	0.00139153
2	3	3	2	1	1	0.000819953
2	3	3	2	1	1	0.000870685
2	3	3	2	1	2	0.001438749
2	3	3	2	1	2	0.001640701
2	3	3	1	2	1	0.000853233
2	3	3	1	2	1	0.000888829
2	3	3	1	2	2	0.00100724
2	3	3	1	2	2	0.002314843
2	3	3	2	2	1	0.00102758
2	3	3	2	2	1	0.001085696
2	3	3	2	2	2	0.00267516
2	3	3	2	2	2	0.002676613
2	3	3	1	3	1	0.001019589
2	3	3	1	3	1	0.001028307
2	3	3	1	3	2	0.00365223
2	3	3	1	3	2	0.003711072
2	3	3	2	3	1	0.001353754
2	3	3	2	3	1	0.001398794
2	3	3	2	3	2	0.004922058
2	3	3	2	3	2	0.004977268
END						
