Date,Plot,CO2,Depth,HorizonNotes,Bulk Density,d13C (ä),d15N (ä),atom%15N,%C,%N,gC/m2,gN/m2,mg15N/m2,Data source,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,1,A,0-9 cm,,0.83,nd,nd,nd,1.09,0.028,810,20.8,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,3,A,0-9 cm,,0.83,nd,nd,nd,3.07,0.103,2292,77.2,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,5,A,0-9 cm,,0.83,nd,nd,nd,4.27,0.132,3189,98.9,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,7,A,0-9 cm,,0.83,nd,nd,nd,2.52,0.067,1880,50.0,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,9,A,0-9 cm,,0.83,nd,nd,nd,3.95,0.136,2947,101.2,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,11,A,0-9 cm,,0.83,nd,nd,nd,1.89,0.041,1415,31.0,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,13,A,0-9 cm,,0.83,nd,nd,nd,1.67,0.039,1246,29.2,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,15,A,0-9 cm,,0.83,nd,nd,nd,3.10,0.083,2318,61.7,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,2,E,0-9 cm,,0.83,nd,nd,nd,2.99,0.102,2234,76.5,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr-96,4,E,0-9 cm,,0.83,nd,nd,nd,2.48,0.052,1853,39.1,-,"Dale Johnson (Johnson et al. 2003, Ecological Applications)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
