"","sample_id","plot","year","CO2","d13C","bulkDensity","percent_carbon","percent_nirogen","depth_upper","depth_lower","longitude","latitude"
"1",1,1,2002,FALSE,-27.27,0.83,3.54,0.09,0,10,"80 42 W","28 38 N"
"7",17,1,2007,FALSE,-27.87835277,0.83,4.240871175,0.170097277,0,10,"80 42 W","28 38 N"
"27",13,10,2002,TRUE,-29.79,0.83,1.42,0.04,0,10,"80 42 W","28 38 N"
"33",29,10,2007,TRUE,-30.29571318,0.83,2.259875811,0.065980644,0,10,"80 42 W","28 38 N"
"53",6,11,2002,FALSE,-27.89,0.83,1.37,0.04,0,10,"80 42 W","28 38 N"
"59",22,11,2007,FALSE,-27.91236457,0.83,2.424856061,0.069962893,0,10,"80 42 W","28 38 N"
"79",14,12,2002,TRUE,-29.24,0.83,2.53,0.08,0,10,"80 42 W","28 38 N"
"85",30,12,2007,TRUE,-30.51378114,0.83,2.454920625,0.136994122,0,10,"80 42 W","28 38 N"
"105",7,13,2002,FALSE,-27.54,0.83,2.83,0.09,0,10,"80 42 W","28 38 N"
"111",23,13,2007,FALSE,-26.54082944,0.83,3.846284896,0.16385463,0,10,"80 42 W","28 38 N"
"131",15,14,2002,TRUE,-29.17,0.83,4.07,0.12,0,10,"80 42 W","28 38 N"
"137",31,14,2007,TRUE,-29.95440221,0.83,4.22416959,0.117380881,0,10,"80 42 W","28 38 N"
"157",8,15,2002,FALSE,-27.71,0.83,2.81,0.08,0,10,"80 42 W","28 38 N"
"163",24,15,2007,FALSE,-27.91622901,0.83,4.319404961,0.109109063,0,10,"80 42 W","28 38 N"
"183",16,16,2002,TRUE,-29.37,0.83,1.89,0.06,0,10,"80 42 W","28 38 N"
"189",32,16,2007,TRUE,-29.69252073,0.83,5.850853368,0.158984415,0,10,"80 42 W","28 38 N"
"209",9,2,2002,TRUE,-29.18,0.83,2.26,0.07,0,10,"80 42 W","28 38 N"
"215",25,2,2007,TRUE,-29.93111211,0.83,2.735283762,0.100622088,0,10,"80 42 W","28 38 N"
"235",2,3,2002,FALSE,-27.58,0.83,3.66,0.11,0,10,"80 42 W","28 38 N"
"241",18,3,2007,FALSE,-28.25816296,0.83,5.159233667,0.09509524,0,10,"80 42 W","28 38 N"
"261",10,4,2002,TRUE,-29.11,0.83,2.55,0.07,0,10,"80 42 W","28 38 N"
"267",26,4,2007,TRUE,-29.36696533,0.83,3.121856944,0.080814802,0,10,"80 42 W","28 38 N"
"287",3,5,2002,FALSE,-28.15,0.83,2.16,0.06,0,10,"80 42 W","28 38 N"
"293",19,5,2007,FALSE,-28.3821517,0.83,3.48862804,0.09624243,0,10,"80 42 W","28 38 N"
"313",11,6,2002,TRUE,-29.3,0.83,1.72,0.04,0,10,"80 42 W","28 38 N"
"319",27,6,2007,TRUE,-29.99510533,0.83,4.321012679,0.101596458,0,10,"80 42 W","28 38 N"
"339",4,7,2002,FALSE,-28.13,0.83,2.36,0.06,0,10,"80 42 W","28 38 N"
"345",20,7,2007,FALSE,-28.37043416,0.83,3.233338817,0.086460441,0,10,"80 42 W","28 38 N"
"365",12,8,2002,TRUE,-30.77,0.83,1.54,0.04,0,10,"80 42 W","28 38 N"
"371",28,8,2007,TRUE,-29.70606931,0.83,1.498740121,0.036964612,0,10,"80 42 W","28 38 N"
"391",5,9,2002,FALSE,-27.64,0.83,2.65,0.09,0,10,"80 42 W","28 38 N"
"397",21,9,2007,FALSE,-27.82097485,0.83,3.026338732,0.134432986,0,10,"80 42 W","28 38 N"
"417",191,1,2007,FALSE,-27.65812288,1.01,0.57037835,0.013726003,10,30,"80 42 W","28 38 N"
"437",203,10,2007,TRUE,-29.2742351,1.01,0.713313816,0.01789497,10,30,"80 42 W","28 38 N"
"457",196,11,2007,FALSE,-27.43626019,1.01,0.588317001,0.013087813,10,30,"80 42 W","28 38 N"
"477",204,12,2007,TRUE,-28.07483052,1.01,0.935833248,0.02234796,10,30,"80 42 W","28 38 N"
"497",197,13,2007,FALSE,-27.58545436,1.01,0.633680522,0.016504794,10,30,"80 42 W","28 38 N"
"517",205,14,2007,TRUE,-28.11487443,1.01,0.803054905,0.017577491,10,30,"80 42 W","28 38 N"
"537",198,15,2007,FALSE,-27.38117849,1.01,0.752920556,0.017318338,10,30,"80 42 W","28 38 N"
"557",206,16,2007,TRUE,-28.53394706,1.01,0.565785812,0.014483119,10,30,"80 42 W","28 38 N"
"577",199,2,2007,TRUE,-29.15049498,1.01,0.665053863,0.015714051,10,30,"80 42 W","28 38 N"
