id,time,substrate,spdiversity,c_t
a1,0,a,1,44.9
a1,8.5,a,1,44.067
a1,111.6,a,1,41.552
a1,44.8,a,1,41.54
a1,5.5,a,1,44.6305
a1,14.6,a,1,43.1188
a1,24.6,a,1,42.1694
a1,76.5,a,1,41.075
a100,0,a,2,46.2
a100,44.7,a,2,40.9701
a100,5.4,a,2,45.4548
a100,14.6,a,2,44.2144
a100,24.6,a,2,42.6576
a100,8.5,a,2,45.0355
a100,111.5,a,2,40.5135
a100,76.4,a,2,40.9284
a101,44.7,a,4,37.0969
a101,0,a,4,49.3
a101,111.4,a,4,36.3776
a101,24.6,a,4,40.5916
a101,14.5,a,4,45.9215
a101,76.4,a,4,37.3816
a101,8.5,a,4,47.787
a101,5.4,a,4,48.3712
a102,44.6,a,4,42.2846
a102,111.4,a,4,39.5704
a102,24.6,a,4,43.2314
a102,14.5,a,4,44.206
a102,76.3,a,4,38.9174
a102,0,a,4,46.7
a102,8.4,a,4,45.5828
a102,5.4,a,4,46.133
a106,44.8,a,2,38.8184
a106,24.6,a,2,38.2312
a106,111.5,a,2,39.4985
a106,14.6,a,2,44.1684
a106,76.4,a,2,37.514
a106,0,a,2,46.3
a106,8.5,a,2,45.416
a106,5.5,a,2,45.662
a108,111.5,a,2,28.375
a108,44.7,a,2,31.7794
a108,76.4,a,2,30.2784
a108,24.6,a,2,37.4494
a108,0,a,2,45.1
a108,14.6,a,2,42.1946
a108,5.4,a,2,44.4412
a108,8.5,a,2,43.757
a109,44.7,a,4,38.0881
a109,14.5,a,4,42.9695
a109,111.4,a,4,43.8834
a109,76.4,a,4,38.2072
a109,24.6,a,4,40.096
a109,0,a,4,46
a109,8.5,a,4,43.824
a109,5.4,a,4,45.5734
a110,111.4,a,4,20.4096
a110,44.6,a,4,32.1604
a110,24.6,a,4,39.9596
a110,0,a,4,46.7
a110,8.4,a,4,44.39
a110,14.5,a,4,40.5085
a110,5.4,a,4,46.1816
a110,76.3,a,4,27.625
a111,0,a,8,47.3
a111,111.4,a,8,36.3828
a111,44.6,a,8,32.582
a111,14.6,a,8,39.2408
a111,76.3,a,8,31.277
a111,5.4,a,8,46.6304
a111,8.4,a,8,44.1416
a111,24.5,a,8,35.0745
a112,0,a,8,62.9
a112,8.4,a,8,61.7072
a112,44.5,a,8,51.4635
a112,111.3,a,8,44.4242
a112,5.4,a,8,62.306
a112,14.5,a,8,59.8695
a112,24.5,a,8,57.7795
a112,76.3,a,8,43.4435
a113,0,a,1,45.4
a113,5.5,a,1,44.8995
a113,44.8,a,1,34.7824
a113,111.5,a,1,34.1385
a113,24.6,a,1,40.5292
a113,14.6,a,1,42.0128
a113,76.5,a,1,31.8595
a113,8.5,a,1,44.1845
a114,0,a,2,52.1
a114,44.8,a,2,41.1688
a114,111.5,a,2,46.1905
a114,5.5,a,2,51.8745
a114,76.4,a,2,40.64
a114,24.6,a,2,49.9352
a114,14.6,a,2,48.4062
a114,8.5,a,2,50.7145
a116,44.7,a,2,41.801
a116,5.4,a,2,48.6386
a116,0,a,2,49.4
a116,8.5,a,2,47.8105
a116,111.5,a,2,38.696
a116,24.6,a,2,44.357
a116,14.6,a,2,46.7866
a116,76.4,a,2,35.5716
a117,5.4,a,4,48.6276
a117,24.6,a,4,43.05
a117,111.4,a,4,35.1636
a117,76.4,a,4,35.1424
a117,44.7,a,4,38.3379
a117,14.5,a,4,46.213
a117,0,a,4,49.2
a117,8.5,a,4,47.874
a118,111.4,a,4,36.6082
a118,76.3,a,4,35.1602
a118,14.5,a,4,43.922
a118,5.4,a,4,45.5764
a118,0,a,4,46.3
a118,44.6,a,4,36.265
a118,24.5,a,4,41.2775
a118,8.4,a,4,44.8552
a119,44.6,a,8,25.8802
a119,5.4,a,8,43.6952
a119,14.6,a,8,35.029
a119,8.4,a,8,40.898
a119,76.3,a,8,24.5383
a119,111.4,a,8,8.5406
a119,24.5,a,8,30.825
a119,0,a,8,44.3
a12,8.5,a,2,47.114
a12,14.6,a,2,46.7276
a12,44.7,a,2,43.2724
a12,24.6,a,2,45.1234
a12,5.4,a,2,47.6626
a12,76.4,a,2,40.6128
a12,111.5,a,2,36.727
a12,0,a,2,48.1
a120,8.4,a,8,44.0188
a120,24.5,a,8,41.811
a120,111.3,a,8,39.7915
a120,14.5,a,8,42.886
a120,5.4,a,8,44.2006
a120,0,a,8,44.8
a120,44.5,a,8,39.9495
a120,76.3,a,8,39.0012
a121,24.6,a,1,39.3724
a121,111.5,a,1,36.3075
a121,14.6,a,1,42.958
a121,44.8,a,1,33.7736
a121,0,a,1,46.9
a121,5.5,a,1,46.2345
a121,76.5,a,1,31.141
a121,8.5,a,1,45.625
a122,24.6,a,2,45.6246
a122,44.8,a,2,24.4544
a122,0,a,2,45.6
a122,111.5,a,2,35.0075
a122,76.4,a,2,25.354
a122,8.5,a,2,44.104
a122,5.5,a,2,44.764
a122,14.6,a,2,43.8626
a124,44.7,a,2,38.2434
a124,8.5,a,2,44.704
a124,0,a,2,46.2
a124,14.6,a,2,43.572
a124,76.4,a,2,33.1356
a124,111.5,a,2,35.273
a124,24.6,a,2,40.1484
a124,5.4,a,2,45.5088
a125,14.5,a,4,41.6945
a125,76.4,a,4,34.9848
a125,44.7,a,4,36.6692
a125,0,a,4,44
a125,24.6,a,4,38.3666
a125,8.5,a,4,42.7845
a125,111.4,a,4,34.1968
a125,5.4,a,4,43.4006
a126,8.4,a,4,47.7188
a126,14.5,a,4,46.9485
a126,44.6,a,4,44.7982
a126,0,a,4,48.5
a126,24.5,a,4,45.8785
a126,76.3,a,4,42.7775
a126,111.4,a,4,40.9248
a126,5.4,a,4,47.6738
a130,14.6,a,2,48.34
a130,0,a,2,49.8
a130,24.6,a,2,49.7508
a130,76.4,a,2,43.6116
a130,8.5,a,2,48.899
a130,5.5,a,2,48.909
a130,44.8,a,2,46.7536
a130,111.5,a,2,45.4515
a131,8.5,a,2,45.1185
a131,0,a,2,46.3
a131,14.6,a,2,43.1902
a131,5.5,a,2,45.4915
a131,24.6,a,2,38.674
a131,76.4,a,2,29.7976
a131,44.8,a,2,35.0104
a131,111.5,a,2,28.46
a136,14.5,a,8,42.3985
a136,8.4,a,8,43.9552
a136,24.5,a,8,41.2105
a136,76.3,a,8,36.7781
a136,44.5,a,8,39.437
a136,0,a,8,45.4
a136,5.4,a,8,44.212
a136,111.3,a,8,39.835
a138,14.6,a,2,48.1854
a138,0,a,2,48.2
a138,5.5,a,2,48.2055
a138,24.6,a,2,44.6084
a138,76.4,a,2,47.5888
a138,8.5,a,2,48.1745
a138,111.5,a,2,48.5345
a138,44.8,a,2,48.0656
a139,44.8,a,2,45.22
a139,14.6,a,2,48.1524
a139,8.5,a,2,48.986
a139,5.4,a,2,49.2356
a139,111.5,a,2,42.787
a139,0,a,2,49.7
a139,76.4,a,2,44.1992
a139,24.6,a,2,46.5266
a14,14.5,a,4,43.775
a14,5.4,a,4,44.5108
a14,24.6,a,4,40.7608
a14,0,a,4,44.5
a14,76.3,a,4,36.2596
a14,44.7,a,4,39.1807
a14,8.5,a,4,44.4575
a14,111.4,a,4,39.0414
a140,24.6,a,4,39.6334
a140,14.6,a,4,43.4968
a140,44.7,a,4,37.36
a140,8.5,a,4,44.583
a140,5.4,a,4,46.0624
a140,0,a,4,46.3
a140,111.5,a,4,36.042
a140,76.4,a,4,35.604
a141,76.4,a,4,39.7172
a141,5.4,a,4,45.3948
a141,14.5,a,4,44.353
a141,111.4,a,4,38.4704
a141,0,a,4,45.6
a141,8.5,a,4,44.8945
a141,24.6,a,4,44.0256
a141,44.7,a,4,42.024
a142,14.5,a,4,44.492
a142,44.6,a,4,43.2348
a142,76.3,a,4,42.3376
a142,24.5,a,4,43.452
a142,111.4,a,4,41.9896
a142,8.4,a,4,45.1348
a142,5.4,a,4,45.3628
a142,0,a,4,46
a143,14.5,a,8,47.7755
a143,24.5,a,8,44.471
a143,111.4,a,8,34.3584
a143,44.6,a,8,40.9002
a143,5.4,a,8,49.9626
a143,0,a,8,50.4
a143,76.3,a,8,31.4776
a143,8.4,a,8,49.4088
a144,5.4,a,8,44.9054
a144,24.5,a,8,43.087
a144,0,a,8,44.9
a144,14.5,a,8,43.1165
a144,76.3,a,8,41.1613
a144,8.4,a,8,44.6984
a144,111.3,a,8,40.3367
a144,44.5,a,8,42.6305
a146,8.5,a,2,55.1915
a146,76.4,a,2,55.0472
a146,14.6,a,2,55.1854
a146,24.6,a,2,51.0426
a146,111.5,a,2,55.423
a146,44.8,a,2,55.2448
a146,0,a,2,55.2
a146,5.5,a,2,55.2
a147,76.4,a,2,34.5232
a147,0,a,2,46.9
a147,44.8,a,2,40.2696
a147,8.5,a,2,46.0925
a147,111.5,a,2,34.0775
a147,24.6,a,2,43.21
a147,14.6,a,2,45.148
a147,5.4,a,2,46.4032
a149,24.6,a,4,41.981
a149,8.5,a,4,47.3015
a149,0,a,4,48.5
a149,76.4,a,4,34.0604
a149,44.7,a,4,31.4693
a149,14.5,a,4,45.4695
a149,5.4,a,4,47.7602
a149,111.4,a,4,34.575
a15,14.6,a,4,43.491
a15,76.3,a,4,39.3382
a15,111.4,a,4,37.8792
a15,44.7,a,4,39.6867
a15,24.5,a,4,42.2495
a15,0,a,4,45.9
a15,5.4,a,4,45.3816
a15,8.4,a,4,44.8752
a150,76.3,a,4,44.0324
a150,24.5,a,4,45.8685
a150,0,a,4,48
a150,44.6,a,4,45.0118
