SITE,SPECIES,DURATION,MESH,MAP,AET,PET,MAT,N,C,Lig,Cel,WSE,mean.afw,sd.afw
AND,ACSA,0,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,9.09275,0.0371696560830651
ARC,ACSA,0,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,9.144,0.00182574185835084
BCI,ACSA,0,1,2692.38,1367.63,1517.06,27.16933333,0.8075,49.7675,15.87,27.328,47.678,8.93975,0.0144539498638493
BNZ,ACSA,0,1,402.87,359.8,575.89,-1.760208333,0.8075,49.7675,15.87,27.328,47.678,9.1005,0.0568066897468955
BSF,ACSA,0,1,1244.55,752.61,1096.91,11.29540417,0.8075,49.7675,15.87,27.328,47.678,8.938,0.0227303028283097
CDR,ACSA,0,1,822.7777778,733.2,1026.133333,7.056204167,0.8075,49.7675,15.87,27.328,47.678,9.1675,0.0108781125813874
CPR,ACSA,0,1,440.4,430.42,1201.73,8.598458333,0.8075,49.7675,15.87,27.328,47.678,9.09025,0.0350178525897867
CWT,ACSA,0,1,1905.66,1173.16,1352.79,13.34375,0.8075,49.7675,15.87,27.328,47.678,9.05,0.0505173237612607
GSF,ACSA,0,1,508.41,502.5,1421.8,26.38333333,0.8075,49.7675,15.87,27.328,47.678,8.926,0.00489897948556654
HBR,ACSA,0,1,1396.13,712.53,817.54,5.548666667,0.8075,49.7675,15.87,27.328,47.678,9.062,0.0262678510731275
HFR,ACSA,0,1,1152.13,851.25,1041.04,7.489633333,0.8075,49.7675,15.87,27.328,47.678,9.0785,0.0216717942650499
JRN,ACSA,0,1,298.1111111,292.2666667,1665.977778,17.14754167,0.8075,49.7675,15.87,27.328,47.678,9.07525,0.0516809120146567
JUN,ACSA,0,1,2877.81,494.81,543.94,4.277983333,0.8075,49.7675,15.87,27.328,47.678,8.68575,0.0177270979012355
KBS,ACSA,0,1,811.15,707.59,1007.43,8.838666667,0.8075,49.7675,15.87,27.328,47.678,9.0735,0.0455302097513286
KNZ,ACSA,0,1,791.21,746.72,1250.01,12.57004167,0.8075,49.7675,15.87,27.328,47.678,9.1285,0.0631954639722397
LBS,ACSA,0,1,4099.52,1699.15,1772.69,26.18779167,0.8075,49.7675,15.87,27.328,47.678,9.1345,0.00341565025531936
LUQ,ACSA,0,1,3362.82,1233.94,1259.58,23.47708333,0.8075,49.7675,15.87,27.328,47.678,9.053,0.00770281333886132
LVW,ACSA,0,1,1096.46,850.81,1083.15,1.707875,0.8075,49.7675,15.87,27.328,47.678,8.7065,0.0433474336033867
MTV,ACSA,0,1,2685,1084.06,1165.5,17.67916667,0.8075,49.7675,15.87,27.328,47.678,8.939,0.0203306009093026
NIN,ACSA,0,1,1491.22,1206.53,1456.16,18.203875,0.8075,49.7675,15.87,27.328,47.678,9.13925,0.000957427107756735
NLK,ACSA,0,1,676.63,649.13,884.36,4.137,0.8075,49.7675,15.87,27.328,47.678,9.138,0.00141421356237315
NWT,ACSA,0,1,1249.7,646.57,755.51,-3.2115,0.8075,49.7675,15.87,27.328,47.678,9.13175,0.00330403793359966
OLY,ACSA,0,1,1530.9,794.19,1043.78,10.7329625,0.8075,49.7675,15.87,27.328,47.678,9.14775,0.0049916597106237
SEV,ACSA,0,1,254.5,252.22,1601.93,13.17375,0.8075,49.7675,15.87,27.328,47.678,9.07875,0.0299596951475368
SMR,ACSA,0,1,240.31,236.14,1860.46,14.64165417,0.8075,49.7675,15.87,27.328,47.678,9.16,0.0466547603859102
UFL,ACSA,0,1,1238.47,1165.79,1620.79,20.721375,0.8075,49.7675,15.87,27.328,47.678,9.06025,0.0307720110923329
VCR,ACSA,0,1,1138.09,993.17,1215.28,15.028375,0.8075,49.7675,15.87,27.328,47.678,9.08325,0.100745140494881
CWT,ANGE,0,1,1905.66,1173.16,1352.79,13.34375,0.6175,44.55,18.68166667,59.37333333,14.74166667,8.771,0.00282842712474588
NWT,ANGE,0,1,1249.7,646.57,755.51,-3.2115,0.6175,44.55,18.68166667,59.37333333,14.74166667,8.778,0.0543261753976232
GSF,BELU,0,1,508.41,502.5,1421.8,26.38333333,1.6,49.88,26.624,45.782,18.524,8.477,0.028879058156387
LUQ,BELU,0,1,3362.82,1233.94,1259.58,23.47708333,1.6,49.88,26.624,45.782,18.524,9.0535,0.0275983091269496
CPR,BOER,0,1,440.4,430.42,1201.73,8.598458333,0.8625,44.8975,15.534,64.334,13.19,8.80566666666667,0.026159765544311
BCI,BOGR,0,1,2692.38,1367.63,1517.06,27.16933333,0.96,42.9575,7.962,68.584,13.84,8.775,0.287519274716206
HFR,BOGR,0,1,1152.13,851.25,1041.04,7.489633333,0.96,42.9575,7.962,68.584,13.84,6.01925,0.00368555739791612
OLY,CEGR,0,1,1530.9,794.19,1043.78,10.7329625,1.3275,52.5825,12.374,26.866,49.114,9.00925,0.0220661883130431
