STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,NIR_NUM,MESH,DATEOUT,IADW,IODW,DATEIN,FWW,FOW,LENGTH,IADW1,IODW1,IASH,FASH,IAFW,FAFW,PRM,PAFRM,KDW,KAFW,TYPE1,TIMEOUT,COMMENT,FLAG
TD023,9,"LIDET_AND",1,1,"ACSA",L,3960,1.0,1990-10-19,10.098,9.583,1991-10-17,8.990,6.718,,,,4.710,5.400,9.132,6.355,70.103,69.590,-0.357,-0.365,L,0.99,,
TD023,9,"LIDET_AND",1,1,"ACSA",L,6752,7.0,1990-10-19,9.994,9.155,1991-10-17,6.790,5.617,,,,4.710,6.770,8.724,5.237,61.354,60.030,-0.492,-0.513,L,0.99,,
TD023,9,"LIDET_AND",1,1,"ANGE",R,46500,0.1,1990-10-19,6.988,6.674,1991-10-17,6.360,4.899,,,,25.000,34.080,5.006,3.229,73.404,64.503,-0.311,-0.441,R,0.99,,
TD023,9,"LIDET_AND",1,1,"DRGL",L,5000,1.0,1990-10-19,9.988,9.658,1991-10-17,6.670,4.813,,,,7.800,5.820,8.905,4.533,49.834,50.904,-0.701,-0.679,L,0.99,,
TD023,9,"LIDET_AND",1,1,"DRGL",R,46903,0.1,1990-10-19,7.070,6.808,1991-10-17,9.150,5.051,,,,6.950,0.000,6.335,5.051,74.192,79.732,-0.300,-0.228,R,0.99,,
TD023,9,"LIDET_AND",1,1,"GOBA",A,68788,,1990-10-19,51.817,47.827,1991-10-17,28.390,23.133,30.40,25.824,23.835,1.470,0.760,23.485,22.957,97.055,97.752,-0.030,-0.023,W,0.99,,
TD023,9,"LIDET_AND",1,1,"GOBA",B,68788,,1990-10-19,51.817,47.827,1991-10-17,27.520,21.576,30.40,25.824,23.835,1.470,0.550,23.485,21.457,90.522,91.365,-0.100,-0.091,W,0.99,,
TD023,9,"LIDET_AND",1,1,"PIEL",R,48405,0.1,1990-10-19,6.994,6.372,1991-10-17,8.870,5.389,,,,6.300,8.450,5.971,4.934,84.573,82.633,-0.169,-0.192,R,0.99,,
TD023,9,"LIDET_AND",1,1,"PIRE",L,2280,1.0,1990-10-19,10.151,9.867,1991-10-17,10.820,8.226,,,,1.700,1.780,9.699,8.080,83.369,83.308,-0.183,-0.184,L,0.99,,
TD023,9,"LIDET_AND",1,1,"PIST",L,290,1.0,1990-10-19,10.028,9.497,1991-10-17,10.200,7.570,,,,3.950,4.380,9.122,7.238,79.709,79.347,-0.228,-0.233,L,0.99,,
TD023,9,"LIDET_AND",1,1,"QUPR",L,4159,1.0,1990-10-19,10.039,9.417,1991-10-17,8.470,6.659,,,,4.390,4.760,9.004,6.342,70.713,70.435,-0.349,-0.353,L,0.99,,
TD023,9,"LIDET_AND",1,1,"RHMA",L,6648,7.0,1990-10-19,10.037,9.294,1991-10-17,8.110,6.496,,,,4.640,4.560,8.863,6.200,69.895,69.954,-0.360,-0.360,L,0.99,,
TD023,9,"LIDET_AND",1,1,"RHMA",L,6864,1.0,1990-10-19,8.032,7.454,1991-10-17,6.620,5.092,,,,4.640,4.300,7.108,4.873,68.312,68.557,-0.383,-0.380,L,0.99,,
TD023,9,"LIDET_AND",1,1,"THPL",L,800,1.0,1990-10-19,10.162,9.634,1991-10-17,8.870,7.238,,,,7.790,8.240,8.884,6.642,75.130,74.764,-0.288,-0.293,L,0.99,,
TD023,9,"LIDET_AND",1,1,"TRAE",L,2909,1.0,1990-10-19,10.022,9.551,1991-10-17,9.700,7.279,,,,2.820,3.100,9.282,7.053,76.212,75.986,-0.273,-0.276,L,0.99,,
TD023,9,"LIDET_AND",1,1,"TRAE",L,6784,7.0,1990-10-19,10.049,9.597,1991-10-17,8.740,7.379,,,,2.820,3.280,9.326,7.137,76.889,76.528,-0.264,-0.269,L,0.99,,
