location,country,site,lat,long,t,litter.spp,type,MAT,MAP,CDI_LT,CDI_atan,Nt,Mt,Cell,Lig,C,N,CN,LIG_N,Ls
Dimbo,Sweden,DIM,59.12,15.73,0.44109589,NSP,L,5.5,560,0.3057,0.1777,1.058292441,77.59,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,0.98630137,NSP,L,5.5,560,0.3057,0.1777,1.005582824,73.234,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,1.416438356,NSP,L,5.5,560,0.3057,0.1777,0.966028605,58.118,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,1.978082192,NSP,L,5.5,560,0.3057,0.1777,1.001481202,54.882,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,2.460273973,NSP,L,5.5,560,0.3057,0.1777,0.974760561,45.866,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,2.991780822,NSP,L,5.5,560,0.3057,0.1777,0.987627871,42.79173913,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,4.008219178,NSP,L,5.5,560,0.3057,0.1777,0.838000657,31.702,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,4.964383562,NSP,L,5.5,560,0.3057,0.1777,0.495033393,18.74708333,49.97,31.53,43.82,0.5814,75.36979704,54.23116615,0.386871166
Dimbo,Sweden,DIM,59.12,15.73,0.44109589,SPI,L,5.5,560,0.3057,0.1777,1.219036454,64.33,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Dimbo,Sweden,DIM,59.12,15.73,0.98630137,SPI,L,5.5,560,0.3057,0.1777,1.139386223,56.31,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Dimbo,Sweden,DIM,59.12,15.73,1.416438356,SPI,L,5.5,560,0.3057,0.1777,1.202371653,42.514,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Dimbo,Sweden,DIM,59.12,15.73,1.978082192,SPI,L,5.5,560,0.3057,0.1777,1.214928,40.326,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Dimbo,Sweden,DIM,59.12,15.73,2.991780822,SPI,L,5.5,560,0.3057,0.1777,1.046126288,30.28545455,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Dimbo,Sweden,DIM,59.12,15.73,4.008219178,SPI,L,5.5,560,0.3057,0.1777,0.91056106,25.31913043,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Dimbo,Sweden,DIM,59.12,15.73,4.964383562,SPI,L,5.5,560,0.3057,0.1777,0.703047958,19.16190476,49.27,24.6,49.89,0.4131,120.7697894,59.54974582,0.333017463
Farabol,Sweden,FAR,56.43,14.58,0.504109589,NSP,L,5.7,660,0.3536,0.2055,1.290152056,81.194,52.36,34.71,43.43,0.5532,78.50686913,62.74403471,0.398644769
Farabol,Sweden,FAR,56.43,14.58,0.997260274,NSP,L,5.7,660,0.3536,0.2055,1.291880917,74.806,52.36,34.71,43.43,0.5532,78.50686913,62.74403471,0.398644769
