SITE,SPECIES,time,MESH,MAP,AET,PET,MAT,N,C,Lig,Cel,WSE,pafrm.mean,pafrm.sd
GSF,ABLA,1,1,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96,70.61725,4.52385855769165
GSF,ABLA,3,1,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96,53.779,5.19723484172113
MTV,ABLA,5,1,2685,1084.06,1165.5,17.67916667,0.71,53.965,17.95666667,30.64666667,31.96,19.633,13.1345094820223
AND,ACSA,1,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,70.79625,1.78843103958004
AND,ACSA,2,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,53.4535,8.54228456952042
AND,ACSA,3,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,41.848,2.87635544859579
AND,ACSA,4,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,35.2005,5.55147863186016
AND,ACSA,5,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,36.57775,13.574315191444
AND,ACSA,6,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,26.18625,7.23498548144132
AND,ACSA,7,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,30.09575,12.7107343972198
AND,ACSA,8,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,20.2563333333333,3.17465026945226
AND,ACSA,9,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,21.172,3.03814274406805
AND,ACSA,10,1,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678,19.9795,2.69416659964945
ARC,ACSA,1,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,72.41375,9.09947186654258
ARC,ACSA,2,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,65.327,8.287599934038
ARC,ACSA,3,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,60.92625,8.41033928665584
ARC,ACSA,4,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,53.4145,5.91549876736245
ARC,ACSA,5,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,46.2765,6.48584553727063
ARC,ACSA,6,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,41.84175,11.5988660760438
ARC,ACSA,7,1,326.66,284.43,422.74,-8.872666667,0.8075,49.7675,15.87,27.328,47.678,40.589,7.63909767795473
