,STCODE,FORMAT,SITE,REP,DURATION,SPECIES,TYPE,sptype,NIR_NUM,MESH,DATEOUT,IADW,IODW,DATEIN,FWW,FOW,LENGTH,IADW1,IODW1,IASH,FASH,IAFW,FAFW,PRM,PAFRM,KDW,KAFW,TYPE1,TIMEOUT,COMMENT,FLAG,MAP,AET,PET,MAT,N,C,Lig,Cel,WSE
1,TD023,9,GSF,1,3,ABLA,L,ABLAL,29981,1,12/27/1991,10.006,8.995,1/4/1993,10.798,7.179,NA,NA,NA,4.33,11.15,8.606,6.379,79.811,74.123,-0.22,-0.292,L,1.02,,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
2,TD023,9,GSF,1,10,ABLA,L,ABLAL,29989,1,12/27/1991,10.038,9.024,4/29/1995,5.99,5.36,NA,NA,NA,4.33,7.46,8.633,4.96,59.397,57.454,-0.156,-0.166,L,3.34,,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
3,TD023,9,GSF,2,3,ABLA,L,ABLAL,29982,1,12/27/1991,10.005,8.994,1/4/1993,9.276,6.573,NA,NA,NA,4.33,3.68,8.605,6.331,73.082,73.574,-0.306,-0.3,L,1.02,,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
4,TD023,9,GSF,2,10,ABLA,L,ABLAL,29990,1,12/27/1991,10.008,8.997,4/29/1995,NA,5.77,NA,NA,NA,4.33,19.33,8.607,4.655,64.132,54.084,-0.133,-0.184,L,3.34,F,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
5,TD023,9,GSF,3,3,ABLA,L,ABLAL,29983,1,12/27/1991,10.005,8.994,1/4/1993,8.286,5.851,NA,NA,NA,4.33,5.49,8.605,5.53,65.054,64.265,-0.42,-0.432,L,1.02,,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
6,TD023,9,GSF,3,10,ABLA,L,ABLAL,29991,1,12/27/1991,10.071,9.054,4/29/1995,NA,3.68,NA,NA,NA,4.33,23.15,8.662,2.828,40.645,32.648,-0.27,-0.335,L,3.34,F,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
7,TD023,9,GSF,4,4,ABLA,L,ABLAL,29984,1,12/27/1991,10.021,9.009,5/6/1993,7.02,6.41,NA,NA,NA,4.33,5.2,8.619,6.077,71.151,70.507,-0.251,-0.257,L,1.36,,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
8,TD023,9,GSF,4,10,ABLA,L,ABLAL,29992,1,12/27/1991,10.039,9.025,4/29/1995,5.45,4.75,NA,NA,NA,4.33,8.92,8.634,4.326,52.632,50.104,-0.192,-0.207,L,3.34,,,508.41,502.5,1421.8,26.38333333,0.71,53.965,17.95666667,30.64666667,31.96
9,TD023,9,MTV,1,9,ABLA,L,ABLAL,29985,1,2/2/1992,9.998,8.988,6/29/1997,15.188,3.791,NA,NA,NA,4.33,15.37,8.599,3.208,42.178,37.307,-0.16,-0.182,L,5.4,,,2685,1084.06,1165.5,17.67916667,0.71,53.965,17.95666667,30.64666667,31.96
10,TD023,9,MTV,2,9,ABLA,L,ABLAL,29986,1,2/2/1992,10.031,9.018,6/29/1997,10.721,1.996,NA,NA,NA,4.33,14.8,8.628,1.701,22.134,19.715,-0.279,-0.3,L,5.4,,,2685,1084.06,1165.5,17.67916667,0.71,53.965,17.95666667,30.64666667,31.96
11,TD023,9,MTV,3,9,ABLA,L,ABLAL,29987,1,2/2/1992,10.005,8.994,6/29/1997,6.877,1.467,NA,NA,NA,4.33,8.29,8.605,1.345,16.311,15.63,-0.336,-0.343,L,5.4,,,2685,1084.06,1165.5,17.67916667,0.71,53.965,17.95666667,30.64666667,31.96
12,TD023,9,MTV,4,9,ABLA,L,ABLAL,29988,1,2/2/1992,10.025,9.012,6/29/1997,3.766,0.618,NA,NA,NA,4.33,18.04,8.622,0.507,6.858,5.88,-0.496,-0.524,L,5.4,,,2685,1084.06,1165.5,17.67916667,0.71,53.965,17.95666667,30.64666667,31.96
13,TD023,9,AND,1,1,ACSA,L,ACSAL,3960,1,10/19/1990,10.098,9.583,10/17/1991,8.99,6.718,NA,NA,NA,4.71,5.4,9.132,6.355,70.103,69.59,-0.357,-0.365,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
14,TD023,9,AND,1,1,ACSA,L,ACSAL,6752,7,10/19/1990,9.994,9.155,10/17/1991,6.79,5.617,NA,NA,NA,4.71,6.77,8.724,5.237,61.354,60.03,-0.492,-0.513,L,0.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
15,TD023,9,AND,1,2,ACSA,L,ACSAL,3956,1,10/19/1990,10.086,9.572,10/16/1992,8.922,4.93,NA,NA,NA,4.71,7.38,9.121,4.566,51.504,50.06,-0.333,-0.347,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
16,TD023,9,AND,1,2,ACSA,L,ACSAL,6748,7,10/19/1990,10.002,9.162,10/16/1992,11.124,5.969,NA,NA,NA,4.71,7.62,8.73,5.514,65.15,63.162,-0.215,-0.231,L,1.99,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
17,TD023,9,AND,1,3,ACSA,L,ACSAL,3952,1,10/19/1990,10,9.49,10/21/1993,14.802,3.919,NA,NA,NA,4.71,11.74,9.043,3.459,41.296,38.251,-0.294,-0.32,L,3.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
18,TD023,9,AND,1,4,ACSA,L,ACSAL,3948,1,10/19/1990,10.066,9.553,10/25/1994,14.99,4.18,NA,NA,NA,4.71,9.92,9.103,3.765,43.756,41.36,-0.206,-0.22,L,4.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
19,TD023,9,AND,1,5,ACSA,L,ACSAL,3944,1,10/19/1990,10.017,9.506,10/26/1995,10.45,2.06,NA,NA,NA,4.71,14.9,9.058,1.753,21.671,19.353,-0.305,-0.327,L,5.02,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
20,TD023,9,AND,1,6,ACSA,L,ACSAL,3940,1,10/19/1990,10.098,9.583,10/21/1996,8.568,1.842,NA,NA,NA,4.71,15.01,9.132,1.566,19.222,17.148,-0.275,-0.294,L,6.01,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
21,TD023,9,AND,1,7,ACSA,L,ACSAL,3936,1,10/19/1990,10.07,9.556,10/17/1997,12.37,2.86,NA,NA,NA,4.71,9.65,9.106,2.584,29.929,28.377,-0.172,-0.18,L,7,,,2309.5,763.6333333,982.3666667,9.1659375,0.8075,49.7675,15.87,27.328,47.678
