DBCODE,LOCATION_CODE,KEYWORD_NAME,WEST_BOUND_COORD_decdeg,EAST_BOUND_COORD_decdeg,NORTH_BOUND_COORD_decdeg,SOUTH_BOUND_COORD_decdeg,ELEVATION_MAX_meters,ELEVATION_MIN_meters,SLOPE_percent,ASPECT_degrees
TD023,OR,Oregon,,,,,,,,
TD023,CA,California,,,,,,,,
TD023,WA,Washington,,,,,,,,
TD023,NM,New Mexico,,,,,,,,
TD023,JRN,Jornada,,,,,,,,
TD023,,Puerto Rico,,,,,,,,
TD023,CWT,Coweeta Hydrologic Laboratory,,,,,,,,
TD023,AK,Alaska,,,,,,,,
TD023,CO,Colorado,,,,,,,,
TD023,,Costa Rica,,,,,,,,
TD023,OLY,Olympic National Forest,,,,,,,,
TD023,KS,Kansas,,,,,,,,
TD023,NC,North Carolina,,,,,,,,
TD023,NH,New Hampshire,,,,,,,,
TD023,MN,Minnesota,,,,,,,,
TD023,AND,"H.J. ANDREWS EXPERIMENTAL FOREST OREGON, POST-1996",,,,,,,,
TD023,BNZ,Bonanza Creek Experimental Forest,,,,,,,,
TD023,MI,Michigan,,,,,,,,
TD023,FL,Florida,,,,,,,,
TD023,MA,Massachusetts,,,,,,,,
TD023,HBR,Hubbard Brook Experimental Forest,,,,,,,,
TD023,HFR,"Harvard Forest, Massachusetts",,,,,,,,
TD023,WI,Wisconsin,,,,,,,,
TD023,ARC,Arctic LTER site,,,,,,,,
TD023,,Panama,,,,,,,,
TD023,BCI,"Barro Colorado Island, Panama",,,,,,,,
TD023,BSF,"Blodgett State Research Park, California",,,,,,,,
TD023,CDR,"Cedar Creek Natural History Area, Minnesota",,,,,,,,
TD023,CPR,"Central Plains Experimental Range, Colorado",,,,,,,,
TD023,CV,"Curley Valley, Utah",,,,,,,,
TD023,GSF,"Guanica State Forest, Puerto Rico",,,,,,,,
TD023,JUN,"Juneau, Alaska",,,,,,,,
TD023,KBS,"Kellog Biological Station, Michigan",,,,,,,,
TD023,KNZ,"Konza Prairie Research Natural Area, Kansas",,,,,,,,
TD023,LBS,"LaSelva Biological Station, Costa Rica",,,,,,,,
