IDNUM,location,country,site,lat,long,time,LITTERQUALITY,litter.spp,ENVIRONMENT,MAT.cru,MAP.cru,MAT.ms,MAP.ms,CDI_LT,CDI_atan,BLOCK,FAUNATREATMENT,REPNUM,Mt,lignin,C,N,CN,LigN,P,Mg,Ca,K,phenol,sla
2,Yucatan State,Mexico,YUC,21.2,-89.55,0.59,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.467544,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
6,Yucatan State,Mexico,YUC,21.2,-89.55,0.59,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,2,0.522019,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
8,Yucatan State,Mexico,YUC,21.2,-89.55,0.44,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.49225,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
12,Yucatan State,Mexico,YUC,21.2,-89.55,0.44,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,2,0.480417,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
14,Yucatan State,Mexico,YUC,21.2,-89.55,0.09,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.678793,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
18,Yucatan State,Mexico,YUC,21.2,-89.55,0.09,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,2,0.698774,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
20,Yucatan State,Mexico,YUC,21.2,-89.55,0.82,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.485283,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
24,Yucatan State,Mexico,YUC,21.2,-89.55,0.82,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,2,0.444955,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
26,Yucatan State,Mexico,YUC,21.2,-89.55,1.07,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.475463,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
30,Yucatan State,Mexico,YUC,21.2,-89.55,1.07,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FE,2,0.475769,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
1,Yucatan State,Mexico,YUC,21.2,-89.55,0.59,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,1,0.461239,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
5,Yucatan State,Mexico,YUC,21.2,-89.55,0.59,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,2,0.496727,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
7,Yucatan State,Mexico,YUC,21.2,-89.55,0.44,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,1,0.542389,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
11,Yucatan State,Mexico,YUC,21.2,-89.55,0.44,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,2,0.506549,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
13,Yucatan State,Mexico,YUC,21.2,-89.55,0.09,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,1,0.635172,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
17,Yucatan State,Mexico,YUC,21.2,-89.55,0.09,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,2,0.681034,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
19,Yucatan State,Mexico,YUC,21.2,-89.55,0.82,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,1,0.486486,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
23,Yucatan State,Mexico,YUC,21.2,-89.55,0.82,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,2,0.435094,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
25,Yucatan State,Mexico,YUC,21.2,-89.55,1.07,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,1,0.434038,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
29,Yucatan State,Mexico,YUC,21.2,-89.55,1.07,HQ,bay,AG,26,515,26,760,0.7682,0.3506,1,FP,2,0.415,11.41,50.56,1.15,43.8,9.9,0.1,0.1,1.01,0.52,1.81,72.4
4,Yucatan State,Mexico,YUC,21.2,-89.55,0.59,LQ,raffia,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.377615,15.57,45.92,0.78,58.6,20,0.12,0.18,0.15,1.06,0.31,135.5
10,Yucatan State,Mexico,YUC,21.2,-89.55,0.44,LQ,raffia,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.592462,15.57,45.92,0.78,58.6,20,0.12,0.18,0.15,1.06,0.31,135.5
16,Yucatan State,Mexico,YUC,21.2,-89.55,0.09,LQ,raffia,AG,26,515,26,760,0.7682,0.3506,1,FE,1,0.827304,15.57,45.92,0.78,58.6,20,0.12,0.18,0.15,1.06,0.31,135.5
